date,atm_name,withdrawals_total,withdrawals_xyz,withdrawals_other,amount_total,amount_xyz,amount_other,weekday,festival,working_day
2011-01-23,Airport ATM,87.0,71.0,16.0,288500.0,257700.0,30800.0,7,NH,0.0
2011-01-23,Big Street ATM,18.0,8.0,10.0,36800.0,7100.0,29700.0,7,NH,0.0
2011-01-24,Christ College ATM,100.0,43.0,57.0,410800.0,208500.0,202300.0,1,NH,1.0
2011-01-24,Mount Road ATM,153.0,71.0,82.0,498900.0,279000.0,219900.0,1,NH,1.0
2011-01-24,KK Nagar ATM,207.0,155.0,52.0,800500.0,618400.0,182100.0,1,NH,1.0
2011-01-24,Airport ATM,85.0,60.0,25.0,247800.0,202100.0,45700.0,1,NH,1.0
2011-01-24,Big Street ATM,26.0,21.0,5.0,103900.0,89300.0,14600.0,1,NH,1.0
2011-01-25,Christ College ATM,89.0,47.0,42.0,325900.0,194000.0,131900.0,2,NH,1.0
2011-01-25,Mount Road ATM,140.0,81.0,59.0,439300.0,281800.0,157500.0,2,NH,1.0
2011-01-25,KK Nagar ATM,178.0,154.0,24.0,617000.0,553900.0,63100.0,2,NH,1.0
2011-01-25,Airport ATM,83.0,65.0,18.0,363100.0,327500.0,35600.0,2,NH,1.0
2011-01-25,Big Street ATM,39.0,21.0,18.0,139900.0,61600.0,78300.0,2,NH,1.0
2011-01-26,Christ College ATM,69.0,26.0,43.0,258400.0,101200.0,157200.0,3,N,0.0
2011-01-26,Mount Road ATM,134.0,46.0,88.0,255400.0,96100.0,159300.0,3,N,0.0
2011-01-26,KK Nagar ATM,157.0,142.0,15.0,485900.0,452800.0,33100.0,3,N,0.0
2011-01-26,Airport ATM,91.0,56.0,35.0,248200.0,199300.0,48900.0,3,N,0.0
2011-01-26,Big Street ATM,18.0,9.0,9.0,40500.0,22700.0,17800.0,3,N,0.0
2011-01-27,Christ College ATM,96.0,41.0,55.0,336300.0,227800.0,108500.0,4,NH,1.0
2011-01-27,Mount Road ATM,147.0,67.0,80.0,461500.0,257900.0,203600.0,4,NH,1.0
2011-01-27,KK Nagar ATM,181.0,144.0,37.0,722900.0,580400.0,142500.0,4,NH,1.0
2011-01-27,Airport ATM,93.0,68.0,25.0,402100.0,290500.0,111600.0,4,NH,1.0
2011-01-27,Big Street ATM,26.0,17.0,9.0,83300.0,70200.0,13100.0,4,NH,1.0
2011-01-28,Christ College ATM,77.0,36.0,41.0,254500.0,169400.0,85100.0,5,NH,1.0
2011-01-28,Mount Road ATM,126.0,69.0,57.0,336300.0,224000.0,112300.0,5,NH,1.0
2011-01-28,KK Nagar ATM,193.0,166.0,27.0,874200.0,789700.0,84500.0,5,NH,1.0
2011-01-28,Airport ATM,77.0,55.0,22.0,191800.0,156900.0,34900.0,5,NH,1.0
2011-01-28,Big Street ATM,22.0,15.0,7.0,71300.0,49000.0,22300.0,5,NH,1.0
